age;sex;sex_orient;educ;town;marital;sex_experience;children;diner;pos_aff;neg_aff;gender_st_plus;gender_st_minus;norms_male;avoiding_femin;dislike_lgbt;self_esteem_tech;firmness;dom_males;need_sex;limit_emotion;sexism_minus;sexism_plus;polit_orientation;feminism;fairness_system;loyality_system;ideal_system;anti_egal;dom;subm;conven;hard_purpose;codes_purpose;hard_accident;codes_accident;cope_confr_acc;cope_dist_acc;cope_control_acc;cope_support_acc;cope_respon_acc;cope_run_acc;cope_plan_acc;cope_value_acc;cope_confr_purp;cope_dist_purp;cope_control_purp;cope_support_purp;cope_respon_purp;cope_run_purp;cope_plan_purp;cope_value_purp
20;М;Гетеросексуал;Среднее специальное;Москва или Санкт-Петербург;Не женаты/не замужем;Да;нет;20;27;30;9;0;58;6;6;15;13;3;9;6;8;13;3;4;3;1;1;20;25;17;25;0;betrayal;0;.000;9;14;11;18;5;14;15;17;12;15;12;15;0;7;18;13
18;М;Бисексуал;Неоконченное высшее;Москва или Санкт-Петербург;Не женаты/не замужем;Да;нет;20;40;23;9;0;70;8;7;12;16;9;6;12;19;19;2;4;4;5;6;24;32;23;24;1;harass;0;sexuality;12;10;14;8;10;13;14;13;11;12;13;10;8;15;13;12
18;М;Гетеросексуал;Неоконченное высшее;Москва или Санкт-Петербург;Не женаты/не замужем;Да;нет;25;25;23;0;3;99;15;21;8;19;14;12;10;25;4;3;1;5;5;2;27;19;23;21;0;.000;0;body;13;14;5;7;7;16;7;6;11;5;7;10;8;11;9;8
19;М;Гетеросексуал;Среднее полное;Город с населением от 250 до 500 тысяч человек;Не женаты/не замужем;Да;нет;26;43;30;2;7;90;9;11;16;15;15;14;10;18;18;4;4;4;5;5;17;25;16;19;1;family;1;activity;5;3;13;12;8;10;17;17;9;9;14;14;7;13;18;18
18;М;Гетеросексуал;Неоконченное высшее;Город с населением от 100 до 250 тысяч человек;Не женаты/не замужем;Да;нет;14;28;33;1;5;52;6;6;5;8;9;7;11;20;7;6;2;5;4;2;22;26;8;21;1;body;0;interpersonal;11;10;13;12;7;17;9;16;13;12;18;15;9;22;7;14
18;М;Гетеросексуал;Неоконченное высшее;Москва или Санкт-Петербург;Не женаты/не замужем;Нет;нет;22;32;22;3;2;88;16;20;13;10;8;9;12;13;5;3;4;4;3;3;30;14;11;13;0;work;0;harass;6;9;16;7;5;12;3;3;14;6;12;14;0;9;2;4
23;Ж;Гетеросексуал;Неоконченное высшее;Москва или Санкт-Петербург;Не женаты/не замужем;Нет;нет;12;15;48;1;6;23;3;3;3;5;3;3;3;6;3;4;4;4;4;4;19;20;13;14;0;.000;0;.000;13;10;15;9;8;14;9;8;13;13;14;6;4;14;10;2
18;М;Гетеросексуал;Неоконченное высшее;Город с населением от 100 до 250 тысяч человек;Не женаты/не замужем;Да;нет;18;40;30;2;1;89;6;14;13;14;15;15;12;12;17;4;4;5;5;3;19;26;16;22;1;relationship;0;interpersonal;9;9;10;14;5;8;15;14;6;4;11;9;4;9;8;12
18;Ж;Гетеросексуал;Неоконченное высшее;Москва или Санкт-Петербург;Не женаты/не замужем;Нет;нет;22;41;20;6;3;43;5;5;9;8;5;6;5;7;4;4;6;6;5;6;35;8;13;14;0;education;1;IQ;12;10;12;6;0;8;16;13;14;7;11;11;1;9;10;8
20;М;Гетеросексуал;Среднее специальное;Москва или Санкт-Петербург;Не женаты/не замужем;Нет;нет;17;38;24;8;1;72;6;18;11;15;13;3;6;19;26;3;5;5;3;3;25;14;15;23;1;relationship;1;IQ;11;13;14;6;7;11;10;10;13;12;16;15;11;19;14;12
